day,channel,region,device_type,audience_segment,campaign_objective,impressions,clicks,ctr_pct,spend_usd,conversions,conversion_rate_pct,bounce_rate_pct,session_duration_sec,audience_age,ad_quality_score,revenue_usd,performance_tier_index,engagement_score
Friday,Affiliate,North,Mobile,Gen X,Traffic,103401,2129,2.06,1225.6,20,0.94,57.89,104,29,7.12,1626.91,1,2.141333256
Sunday,Social,South,Mobile,Gen Z,App Installs,90582,1498,1.65,2133.445,67,4.47,57.91,167,30,6.23,4973.81,1,2.761762823
Friday,Video,North,Mobile,Gen Z,Traffic,164972,5995,3.63,7864.4,279,4.65,45.3,251,27,7.48,13342.42,1,9.121214509
Thursday,Social,Central,Mobile,Millennials,App Installs,80041,2549,3.18,5207.31,205,8.04,53.29,69,24,8.08,12948.48,1,2.19738634
Wednesday,Video,South,CTV,Gen X,Awareness,227525,8106,3.56,10228.7,557,6.87,44.81,148,27,5.34,30931.58,2,5.27277442
Monday,Social,West,Tablet,Gen X,Traffic,77167,1964,2.55,3487.88,110,5.6,38.19,136,46,6.91,5761.18,1,3.461375977
Friday,Social,East,Mobile,Gen Z,Sales,109326,3362,3.08,5972.72,231,6.87,42.85,141,26,4.78,18602.2,2,4.336040832
Wednesday,Search,East,Tablet,Gen X,Awareness,112448,5095,4.53,5445.3,314,6.16,48.48,75,32,6.37,23759.01,2,3.398237408
Wednesday,Affiliate,West,Mobile,Boomers,Awareness,52078,644,1.24,480.87,35,5.43,45.37,154,36,8.86,1828.24,2,1.904374208
Tuesday,Email,East,Tablet,Millennials,Awareness,80570,3712,4.61,1196.29,208,5.6,84.86,100,51,6.15,18047.14,3,4.607173886
Thursday,Search,South,Tablet,Gen Z,Traffic,145137,6100,4.2,10582.49,507,8.31,69.54,212,41,7.31,24490.54,1,8.910202085
Thursday,Search,West,Tablet,Boomers,Leads,135686,8357,6.16,14780.37,460,5.5,32.19,191,40,7.45,42084.6,1,11.76382972
Friday,Social,East,Tablet,Millennials,Leads,118642,3188,2.69,4524.9,135,4.23,40.73,92,36,8.15,15883.16,2,2.472109371
Friday,Affiliate,North,Desktop,Millennials,Traffic,106490,3939,3.7,4755.03,85,2.16,51.55,43,42,5.73,10476.03,1,1.590543713
Friday,Video,West,Tablet,Millennials,Leads,161427,3367,2.09,4725.02,221,6.56,39.3,69,39,6.33,23580.83,2,1.439183036
Tuesday,Display,North,Desktop,Gen X,Traffic,214876,3654,1.7,4203.34,90,2.46,34.71,69,34,7.25,5712.27,1,1.173355796
Monday,Affiliate,West,CTV,Boomers,Traffic,79268,1624,2.05,1661.42,46,2.83,59.78,136,29,7.66,5601.56,2,2.786294596
Friday,Display,South,Desktop,Gen X,App Installs,197682,2042,1.03,1745.92,0,0,46.99,140,34,7.48,283.61,0,1.446161006
Tuesday,Social,Central,CTV,Gen Z,Awareness,71395,2346,3.29,3275.66,127,5.41,58.07,214,18,6.7,11182.5,2,7.031921003
Monday,Search,West,CTV,Boomers,App Installs,114432,5449,4.76,7824.91,339,6.22,65.49,178,36,8.22,33902.41,2,8.475968261
Tuesday,Display,Central,Mobile,Gen Z,App Installs,254816,4304,1.69,3932.78,0,0,68.07,205,28,5.33,237.18,0,3.462576918
Sunday,Display,East,Mobile,Gen X,Sales,310159,1347,0.43,1482.35,13,0.97,39.2,159,31,7.3,411.26,0,0.690526472
Friday,Social,West,Mobile,Gen X,App Installs,113730,3133,2.75,3221.78,82,2.62,49.79,110,36,6.52,7647.39,1,3.030247076
Tuesday,Social,Central,Mobile,Gen X,App Installs,101325,1262,1.25,1701.49,46,3.65,58.68,72,34,7.43,3171.71,1,0.896757957
Sunday,Email,South,Desktop,Gen X,Traffic,23332,1187,5.09,624.87,75,6.32,63.56,189,43,7.13,3411.24,2,9.615249443
Friday,Email,Central,Mobile,Gen X,Sales,77703,3187,4.1,2955.5,198,6.21,70.01,268,34,6.83,21226.88,2,10.99205951
Friday,Search,North,Tablet,Gen X,Traffic,99771,6109,6.12,8020.94,219,3.58,51.26,121,41,4.6,10526.6,1,7.408856281
Friday,Search,South,Mobile,Gen Z,Sales,86742,4083,4.71,7340.57,303,7.42,42.76,246,49,7.39,35156.9,2,11.57937331
Saturday,Email,South,Tablet,Boomers,Traffic,76070,2131,2.8,1410.81,295,13.84,55.5,208,29,7.08,27094.6,3,5.826843697
Monday,Email,South,Tablet,Boomers,Leads,55150,2545,4.61,612.77,176,6.92,51.17,183,52,6.95,5836.52,2,8.444877607
Monday,Video,Central,CTV,Gen Z,Traffic,196611,3658,1.86,6463.73,356,9.73,45.3,131,32,5.78,24854.45,2,2.437289877
Sunday,Social,North,Tablet,Gen Z,App Installs,91757,1945,2.12,1935.88,57,2.93,52.62,170,32,7.05,6005.26,2,3.603539784
Sunday,Affiliate,North,Desktop,Gen Z,Awareness,120929,2168,1.79,910.19,25,1.15,46.13,142,21,10,3268.45,2,2.545758255
Sunday,Display,North,Desktop,Gen X,Sales,243281,1465,0.6,1821.09,0,0,52.42,167,30,6.46,0,0,1.00564779
Friday,Social,Central,Desktop,Boomers,Traffic,117544,2956,2.51,2964.96,220,7.44,91.25,134,28,7.74,21978.77,2,3.369835976
Sunday,Video,West,Desktop,Gen Z,Awareness,159305,4888,3.07,7225.97,75,1.53,39.09,136,36,8.51,5544.04,0,4.172926148
Thursday,Affiliate,West,Tablet,Boomers,Sales,43973,561,1.28,513.22,38,6.77,53.71,124,23,7.88,2831.73,2,1.581970755
Saturday,Affiliate,East,Mobile,Millennials,Traffic,70575,2453,1.46,548.45,23,2.23,68.36,262,42,6.95,2734.16,2,9.106425788
Friday,Social,Central,CTV,Millennials,Sales,108844,2141,1.97,3277.5,85,3.97,66.46,218,47,9.08,8878.62,1,4.28813715
Saturday,Social,East,CTV,Millennials,Awareness,74088,1464,1.98,1618.11,40,2.73,37.95,107,36,7.31,3187.91,1,2.114350502
Tuesday,Video,Central,Mobile,Gen Z,App Installs,204504,5792,2.83,14492.37,280,4.83,68.06,125,35,8.28,7485.87,0,3.540273051
Sunday,Search,North,Desktop,Millennials,Sales,151013,7132,4.72,12280.6,442,6.2,56.16,116,39,8.36,29942.7,1,5.478415766
Sunday,Video,West,Desktop,Boomers,Awareness,150206,7290,4.85,10870.38,398,5.46,43.4,127,31,6.95,28209.07,1,6.163735137
Tuesday,Social,West,Mobile,Boomers,Leads,105165,4091,3.89,8218.6,99,2.42,41.26,166,34,6.72,9598.33,1,6.457528645
Monday,Video,East,CTV,Boomers,Traffic,196868,6288,3.19,8749.63,162,2.58,53.48,152,30,7.75,9399.1,1,4.854907857
Friday,Social,East,Desktop,Gen Z,App Installs,100286,2396,2.39,2392.94,20,0.83,59,242,31,8.44,2038.02,0,5.781784097
Friday,Affiliate,Central,Mobile,Gen X,Awareness,53380,649,1.22,444.9,0,0,55.17,154,27,6.18,0,0,1.872349194
Sunday,Email,North,Desktop,Gen Z,App Installs,65655,1871,2.85,754.82,135,7.22,93.41,147,28,6.52,15207.24,3,4.189124971
Thursday,Search,South,CTV,Gen Z,App Installs,142941,5648,3.95,7511.76,206,3.65,31.72,101,47,8.58,13410.31,1,3.990793404
Sunday,Social,Central,Mobile,Gen Z,Sales,97274,1443,1.48,2165.43,45,3.12,32.98,80,18,9.48,2749.28,1,1.186750828
Friday,Affiliate,Central,Tablet,Gen X,Traffic,81997,1009,1.23,1343.48,43,4.26,62.34,210,54,9.05,5420.05,2,2.584118931
Saturday,Affiliate,East,Desktop,Gen X,Sales,95399,2073,2.17,1334.67,41,1.98,52.42,161,37,8.41,2984.89,1,3.498495791
Wednesday,Search,West,Mobile,Gen Z,App Installs,129502,6902,5.33,12731.75,189,2.74,39.91,147,36,7.43,5653.94,0,7.834581705
Tuesday,Social,Central,Tablet,Millennials,Leads,114678,3714,3.24,4387.68,145,3.9,29.01,209,31,7.31,11586.37,1,6.768743787
Monday,Search,South,Tablet,Gen X,Traffic,117407,5427,4.62,10352.83,339,6.25,61.47,307,39,7.16,14384.09,1,14.19071265
Tuesday,Display,North,Desktop,Gen X,Awareness,129706,1696,1.31,820.34,46,2.71,5,107,18,8.81,4701.77,2,1.399102586
Thursday,Email,South,Tablet,Millennials,Leads,62640,2974,4.75,1734.28,166,5.58,54.87,162,32,4.96,17400.6,3,7.69137931
Wednesday,Email,West,Tablet,Gen Z,Awareness,52963,1425,2.69,578.88,130,9.12,41.44,126,53,7.74,12462.73,3,3.390102524
Tuesday,Affiliate,West,Tablet,Gen Z,Awareness,115090,1619,1.41,1305.9,54,3.34,62.98,224,18,4.45,3672.27,1,3.151064384
Wednesday,Display,South,Tablet,Millennials,Sales,213363,1948,0.91,1847.52,38,1.95,75.24,93,32,5.24,4383.09,1,0.849088174
Tuesday,Email,West,Mobile,Gen Z,Awareness,55870,2536,4.54,1148.35,175,6.9,62.62,203,34,7.69,17249.56,3,9.214390549
Sunday,Affiliate,South,Mobile,Gen X,App Installs,85797,598,0.7,673.54,15,2.51,37.07,213,36,4.42,1373.91,1,1.484597364
Sunday,Email,South,CTV,Millennials,Awareness,16370,301,1.84,153.49,19,6.31,51.95,90,29,9.26,1965.46,3,1.654856445
Tuesday,Display,East,Mobile,Gen X,Traffic,220925,2686,1.22,1432.57,101,2.12,47.89,172,34,8.32,7405.2,2,2.091171212
Sunday,Affiliate,South,Mobile,Gen X,App Installs,100230,2235,2.23,2759.39,152,6.8,83.13,118,40,9.6,13476.64,2,2.631248129
Sunday,Video,Central,Desktop,Millennials,Traffic,129908,4684,3.61,6880.73,433,9.24,22.04,109,29,6.98,21835.76,2,3.930135173
Thursday,Social,West,Mobile,Millennials,Leads,63291,1831,2.89,1663.66,40,2.18,55.37,222,31,9.53,3264.72,1,6.422429729
Friday,Video,South,Tablet,Millennials,Awareness,226990,8979,3.96,8578.7,277,3.08,41.24,259,33,4.69,14383.12,1,10.24521345
Tuesday,Video,North,CTV,Millennials,Traffic,186882,3162,1.69,4619.14,14,0.44,34.67,179,36,7.56,1401.79,0,3.028638392
Monday,Video,East,Tablet,Millennials,Traffic,178953,5534,3.09,2133.445,131,2.37,44.59,66,22,6.36,16305.05,2,2.04100518
Tuesday,Search,South,CTV,Gen X,Leads,92185,2948,3.2,8037.6,204,6.92,54.61,225,22,6.23,17194.44,1,7.195313771
Tuesday,Search,East,Tablet,Boomers,App Installs,125250,6608,5.28,11836.83,415,6.28,68.29,33,39,10,26358,1,1.74102994
Saturday,Display,North,Mobile,Gen X,Traffic,184823,1771,0.96,881.79,58,3.27,51.23,171,34,7.28,5051.21,2,1.638546068
Tuesday,Email,East,Mobile,Gen Z,App Installs,79899,4100,5.13,1061.13,240,5.85,40.69,156,36,7.49,22454.72,3,8.005106447
Tuesday,Video,North,Tablet,Gen X,Awareness,191499,5875,3.07,7149.59,175,2.98,42.74,45,33,7.6,21732.94,2,1.380555512
Monday,Affiliate,East,Tablet,Boomers,Leads,84159,1568,1.86,1510.91,19,1.21,28.11,186,25,6.97,1944.61,1,3.465440416
Friday,Video,East,Desktop,Millennials,Sales,154920,4602,2.97,7450.31,489,10.63,35.78,170,46,7.4,21894.89,1,5.04996127
Saturday,Affiliate,West,Desktop,Gen X,Sales,75428,2063,2.74,1749.55,145,7.03,59.87,115,41,6.47,14336.45,2,3.145317389
Saturday,Email,North,Tablet,Gen X,Traffic,36124,1532,4.24,906.58,70,4.57,65.84,47,48,4.04,7618.61,2,1.993245488
Saturday,Video,Central,Tablet,Boomers,Sales,273277,6268,2.29,7176.44,215,3.43,52.51,113,39,7.35,10011.32,1,2.591817094
Wednesday,Video,South,CTV,Millennials,Awareness,138923,3137,2.26,3783.34,111,3.54,54.42,166,41,7.57,7715.97,1,3.748421788
Tuesday,Display,Central,Tablet,Gen Z,Traffic,143843,1243,0.86,1294.2,8,0.64,70.2,168,32,10,816.28,0,1.451749477
Sunday,Affiliate,East,Desktop,Millennials,Traffic,94041,2866,3.05,1879.01,2,0.07,41.22,238,31,7.06,150.78,0,7.25330441
Thursday,Search,North,Desktop,Boomers,App Installs,130781,6727,5.14,11598.76,357,5.31,60.53,195,41,6.24,27879.16,1,10.0302414
Thursday,Search,West,CTV,Millennials,Sales,147806,7542,5.1,23101,150,1.99,65.98,112,30,7.53,15298.96,0,5.714950679
Tuesday,Video,West,Desktop,Millennials,Awareness,223836,5256,2.35,7943.82,197,3.75,33.85,195,34,9.3,22683.37,1,4.578888115
Friday,Search,West,Desktop,Millennials,App Installs,170987,7616,4.45,16481.6,273,3.58,43.59,216,47,9.28,14695.26,0,9.620941943
Saturday,Social,West,Tablet,Boomers,App Installs,87521,2080,2.38,2351.53,144,6.92,34.1,216,40,6.26,8093.87,2,5.133396556
Tuesday,Affiliate,West,CTV,Gen X,Traffic,119700,1328,1.11,1220.48,47,3.54,70.22,176,32,8.2,3292.94,1,1.952614871
Friday,Affiliate,East,CTV,Millennials,Leads,72379,2203,3.04,1527.21,21,0.95,70.01,120,38,5.43,2422.45,1,3.652440625
Thursday,Display,East,Mobile,Millennials,Traffic,251970,3358,1.33,1899.05,118,3.51,43.08,83,47,4.39,4457.58,1,1.10613962
Monday,Social,West,Desktop,Millennials,Awareness,104632,2938,2.81,3612.13,86,2.93,27.11,85,35,7.91,4599.09,1,2.386745929
Sunday,Video,West,Tablet,Boomers,Sales,164027,5082,3.1,6663.9,79,1.55,51.8,192,44,6.36,5301.64,0,5.948679181
Monday,Affiliate,North,CTV,Boomers,Awareness,73858,1352,1.83,1823.41,71,5.25,37.19,249,26,9.46,10763.81,2,4.558043814
Friday,Display,East,CTV,Boomers,App Installs,148604,1559,1.05,1523.33,16,1.03,46.41,263,36,6.4,1729.65,1,2.759124923
Sunday,Affiliate,Central,Desktop,Boomers,Traffic,59299,1425,2.4,2003.5,39,2.74,48.34,166,30,10,2892.71,1,3.989106056
Thursday,Display,West,CTV,Gen Z,Sales,224636,489,0.22,2133.445,20,4.09,38.71,109,34,6.8,1530.39,0,0.237277195
Tuesday,Display,West,Desktop,Boomers,Traffic,254163,2453,1.24,2676.08,52,1.66,80.27,252,24,6.27,3006.76,1,2.432124267
Wednesday,Email,Central,Mobile,Boomers,App Installs,78593,2552,3.25,890.97,232,9.09,51.23,172,18,6.43,3018.29,2,5.585026656
